input,time_complexity,space_complexity
"# This is the memoization approach of 
# 0 / 1 Knapsack in Python in simple 
# we can say recursion + memoization = DP 
 
 
defknapsack(wt, val, W, n): 
 
    # base conditions 
    ifn ==0orW ==0: 
        return0
    ift[n][W] !=-1: 
        returnt[n][W] 
 
    # choice diagram code 
    ifwt[n-1] <=W: 
        t[n][W] =max( 
            val[n-1] +knapsack( 
                wt, val, W-wt[n-1], n-1), 
            knapsack(wt, val, W, n-1)) 
        returnt[n][W] 
    elifwt[n-1] > W: 
        t[n][W] =knapsack(wt, val, W, n-1) 
        returnt[n][W] 
 
# Driver code 
if__name__ =='__main__': 
    profit =[60, 100, 120] 
    weight =[10, 20, 30] 
    W =50
    n =len(profit) 
     
    # We initialize the matrix with -1 at first. 
    t =[[-1fori inrange(W +1)] forj inrange(n +1)] 
    print(knapsack(weight, profit, W, n)) 
 
# This code is contributed by Prosun Kumar Sarkar 
",O(2N),O(N)
"# This is the memoization approach of 
# 0 / 1 Knapsack in Python in simple 
# we can say recursion + memoization = DP 
 
 
defknapsack(wt, val, W, n): 
 
    # base conditions 
    ifn ==0orW ==0: 
        return0
    ift[n][W] !=-1: 
        returnt[n][W] 
 
    # choice diagram code 
    ifwt[n-1] <=W: 
        t[n][W] =max( 
            val[n-1] +knapsack( 
                wt, val, W-wt[n-1], n-1), 
            knapsack(wt, val, W, n-1)) 
        returnt[n][W] 
    elifwt[n-1] > W: 
        t[n][W] =knapsack(wt, val, W, n-1) 
        returnt[n][W] 
 
# Driver code 
if__name__ =='__main__': 
    profit =[60, 100, 120] 
    weight =[10, 20, 30] 
    W =50
    n =len(profit) 
     
    # We initialize the matrix with -1 at first. 
    t =[[-1fori inrange(W +1)] forj inrange(n +1)] 
    print(knapsack(weight, profit, W, n)) 
 
# This code is contributed by Prosun Kumar Sarkar 
",O(N * W),O(N * W) + O(N)
"# A Dynamic Programming based Python 
# Program for 0-1 Knapsack problem 
# Returns the maximum value that can 
# be put in a knapsack of capacity W 
 
 
defknapSack(W, wt, val, n): 
    K =[[0forx inrange(W +1)] forx inrange(n +1)] 
 
    # Build table K[][] in bottom up manner 
    fori inrange(n +1): 
        forw inrange(W +1): 
            ifi ==0orw ==0: 
                K[i][w] =0
            elifwt[i-1] <=w: 
                K[i][w] =max(val[i-1] 
                              +K[i-1][w-wt[i-1]], 
                              K[i-1][w]) 
            else: 
                K[i][w] =K[i-1][w] 
 
    returnK[n][W] 
 
 
# Driver code 
if__name__ =='__main__': 
    profit =[60, 100, 120] 
    weight =[10, 20, 30] 
    W =50
    n =len(profit) 
    print(knapSack(W, weight, profit, n)) 
 
# This code is contributed by Bhavya Jain 
",O(N * W),O(N * W)
"# Python code to implement the above approach 
 
 
defknapSack(W, wt, val, n): 
     
    # Making the dp array 
    dp =[0fori inrange(W+1)] 
 
    # Taking first i elements 
    fori inrange(1, n+1): 
       
        # Starting from back, 
        # so that we also have data of 
        # previous computation when taking i-1 items 
        forw inrange(W, 0, -1): 
            ifwt[i-1] <=w: 
                 
                # Finding the maximum value 
                dp[w] =max(dp[w], dp[w-wt[i-1]]+val[i-1]) 
     
    # Returning the maximum value of knapsack 
    returndp[W] 
 
 
# Driver code 
if__name__ =='__main__': 
    profit =[60, 100, 120] 
    weight =[10, 20, 30] 
    W =50
    n =len(profit) 
    print(knapSack(W, weight, profit, n)) 
 
 
# This code is contributed by Suyash Saxena
",O(N * W),O(W)
"# Python3 program to print the path from root 
# node to destination node for N*N-1 puzzle 
# algorithm using Branch and Bound
# The solution assumes that instance of 
# puzzle is solvable

# Importing copy for deepcopy function
importcopy

# Importing the heap functions from python 
# library for Priority Queue
fromheapq importheappush, heappop

# This variable can be changed to change
# the program from 8 puzzle(n=3) to 15 
# puzzle(n=4) to 24 puzzle(n=5)...
n =3

# bottom, left, top, right
row =[ 1, 0, -1, 0]
col =[ 0, -1, 0, 1]

# A class for Priority Queue
classpriorityQueue:
    
    # Constructor to initialize a
    # Priority Queue
    def__init__(self):
        self.heap =[]

    # Inserts a new key 'k'
    defpush(self, k):
        heappush(self.heap, k)

    # Method to remove minimum element 
    # from Priority Queue
    defpop(self):
        returnheappop(self.heap)

    # Method to know if the Queue is empty
    defempty(self):
        ifnotself.heap:
            returnTrue
        else:
            returnFalse

# Node structure
classnode:
    
    def__init__(self, parent, mat, empty_tile_pos,
                 cost, level):
                     
        # Stores the parent node of the 
        # current node helps in tracing 
        # path when the answer is found
        self.parent =parent

        # Stores the matrix
        self.mat =mat

        # Stores the position at which the
        # empty space tile exists in the matrix
        self.empty_tile_pos =empty_tile_pos

        # Stores the number of misplaced tiles
        self.cost =cost

        # Stores the number of moves so far
        self.level =level

    # This method is defined so that the 
    # priority queue is formed based on 
    # the cost variable of the objects
    def__lt__(self, nxt):
        returnself.cost < nxt.cost

# Function to calculate the number of 
# misplaced tiles ie. number of non-blank
# tiles not in their goal position
defcalculateCost(mat, final) -> int:
    
    count =0
    fori inrange(n):
        forj inrange(n):
            if((mat[i][j]) and
                (mat[i][j] !=final[i][j])):
                count +=1
                
    returncount

defnewNode(mat, empty_tile_pos, new_empty_tile_pos,
            level, parent, final) -> node:
                
    # Copy data from parent matrix to current matrix
    new_mat =copy.deepcopy(mat)

    # Move tile by 1 position
    x1 =empty_tile_pos[0]
    y1 =empty_tile_pos[1]
    x2 =new_empty_tile_pos[0]
    y2 =new_empty_tile_pos[1]
    new_mat[x1][y1], new_mat[x2][y2] =new_mat[x2][y2], new_mat[x1][y1]

    # Set number of misplaced tiles
    cost =calculateCost(new_mat, final)

    new_node =node(parent, new_mat, new_empty_tile_pos,
                    cost, level)
    returnnew_node

# Function to print the N x N matrix
defprintMatrix(mat):
    
    fori inrange(n):
        forj inrange(n):
            print(""%d ""%(mat[i][j]), end ="" "")
            
        print()

# Function to check if (x, y) is a valid
# matrix coordinate
defisSafe(x, y):
    
    returnx >=0andx < n andy >=0andy < n

# Print path from root node to destination node
defprintPath(root):
    
    ifroot ==None:
        return
    
    printPath(root.parent)
    printMatrix(root.mat)
    print()

# Function to solve N*N - 1 puzzle algorithm
# using Branch and Bound. empty_tile_pos is
# the blank tile position in the initial state.
defsolve(initial, empty_tile_pos, final):
    
    # Create a priority queue to store live
    # nodes of search tree
    pq =priorityQueue()

    # Create the root node
    cost =calculateCost(initial, final)
    root =node(None, initial, 
                empty_tile_pos, cost, 0)

    # Add root to list of live nodes
    pq.push(root)

    # Finds a live node with least cost,
    # add its children to list of live 
    # nodes and finally deletes it from 
    # the list.
    whilenotpq.empty():

        # Find a live node with least estimated
        # cost and delete it from the list of 
        # live nodes
        minimum =pq.pop()

        # If minimum is the answer node
        ifminimum.cost ==0:
            
            # Print the path from root to
            # destination;
            printPath(minimum)
            return

        # Generate all possible children
        fori inrange(4):
            new_tile_pos =[
                minimum.empty_tile_pos[0] +row[i],
                minimum.empty_tile_pos[1] +col[i], ]
                
            ifisSafe(new_tile_pos[0], new_tile_pos[1]):
                
                # Create a child node
                child =newNode(minimum.mat,
                                minimum.empty_tile_pos,
                                new_tile_pos,
                                minimum.level +1,
                                minimum, final,)

                # Add child to list of live nodes
                pq.push(child)

# Driver Code

# Initial configuration
# Value 0 is used for empty space
initial =[ [ 1, 2, 3], 
            [ 5, 6, 0], 
            [ 7, 8, 4] ]

# Solvable Final configuration
# Value 0 is used for empty space
final =[ [ 1, 2, 3], 
          [ 5, 8, 6], 
          [ 0, 7, 4] ]

# Blank tile coordinates in 
# initial configuration
empty_tile_pos =[ 1, 2]

# Function call to solve the puzzle
solve(initial, empty_tile_pos, final)

# This code is contributed by Kevin Joshi
",O(N^2 * N!),O(N^2)
"# Python equivalent of above code 

# define a function to set the zeroes in the matrix
defsetZeroes(matrix):
    # get the length of the matrix
    rows =len(matrix)
    cols =len(matrix[0])

    # Iterate through each element of the matrix
    fori inrange(0, rows):
        forj inrange(0, cols):

            # If the element is 1, mark its
            # corresponding row and column using -1
            ifmatrix[i][j] ==1:

                # Mark all elements in the same column
                # as -1, except for other 1's
                ind =i -1
                whileind >=0:
                    ifmatrix[ind][j] !=1:
                        matrix[ind][j] =-1
                    ind -=1

                ind =i +1
                whileind < rows:
                    ifmatrix[ind][j] !=1:
                        matrix[ind][j] =-1
                    ind +=1

                # Mark all elements in the same row as
                # -1, except for other 1's
                ind =j -1
                whileind >=0:
                    ifmatrix[i][ind] !=1:
                        matrix[i][ind] =-1
                    ind -=1

                ind =j +1
                whileind < cols:
                    ifmatrix[i][ind] !=1:
                        matrix[i][ind] =-1
                    ind +=1

    # Iterate through the matrix again, setting all
    # -1's to 0
    fori inrange(0, rows):
        forj inrange(0, cols):
            ifmatrix[i][j] < 0:
                matrix[i][j] =1

# Test the setZeroes function with a sample input
if__name__ ==""__main__"":
    arr =[[1, 0, 2, 1],
           [3, 4, 5, 2],
           [0, 3, 0, 5]]
    setZeroes(arr)
    print(""The Final Matrix is:"")
    fori inrange(len(arr)):
        forj inrange(len(arr[0])):
            print(arr[i][j], end="" "")
        print()
",O((N*M)*(N + M)),O(1)
"# Python3 Code For A Boolean Matrix Question
R =3
C =4


defmodifyMatrix(mat):
    row =[0] *R
    col =[0] *C

    # Initialize all values of row[] as 0
    fori inrange(0, R):
        row[i] =0

    # Initialize all values of col[] as 0
    fori inrange(0, C):
        col[i] =0

    # Store the rows and columns to be marked
    # as 1 in row[] and col[] arrays respectively
    fori inrange(0, R):

        forj inrange(0, C):
            if(mat[i][j] ==1):
                row[i] =1
                col[j] =1

    # Modify the input matrix mat[] using the
    # above constructed row[] and col[] arrays
    fori inrange(0, R):

        forj inrange(0, C):
            if(row[i] ==1orcol[j] ==1):
                mat[i][j] =1

# A utility function to print a 2D matrix


defprintMatrix(mat):
    fori inrange(0, R):

        forj inrange(0, C):
            print(mat[i][j], end="" "")
        print()


# Driver Code
mat =[[1, 0, 0, 1],
       [0, 0, 1, 0],
       [0, 0, 0, 0]]

print(""Input Matrix"")
printMatrix(mat)

modifyMatrix(mat)

print(""Matrix after modification"")
printMatrix(mat)

# This code is contributed by Nikita Tiwari.
",O(M*N),O(M+N)
"# Python3 Code For A Boolean Matrix Question
defmodifyMatrix(mat):

    # variables to check if there are any 1
    # in first row and column
    row_flag =False
    col_flag =False

    # updating the first row and col
    # if 1 is encountered
    fori inrange(0, len(mat)):

        forj inrange(0, len(mat)):
            if(i ==0andmat[i][j] ==1):
                row_flag =True

            if(j ==0andmat[i][j] ==1):
                col_flag =True

            if(mat[i][j] ==1):
                mat[0][j] =1
                mat[i][0] =1

    # Modify the input matrix mat[] using the
    # first row and first column of Matrix mat
    fori inrange(1, len(mat)):

        forj inrange(1, len(mat) +1):
            if(mat[0][j] ==1ormat[i][0] ==1):
                mat[i][j] =1

    # modify first row if there was any 1
    if(row_flag ==True):
        fori inrange(0, len(mat)):
            mat[0][i] =1

    # modify first col if there was any 1
    if(col_flag ==True):
        fori inrange(0, len(mat)):
            mat[i][0] =1

# A utility function to print a 2D matrix


defprintMatrix(mat):

    fori inrange(0, len(mat)):
        forj inrange(0, len(mat) +1):
            print(mat[i][j], end="""")

        print()


# Driver Code
mat =[[1, 0, 0, 1],
       [0, 0, 1, 0],
       [0, 0, 0, 0]]

print(""Input Matrix :"")
printMatrix(mat)

modifyMatrix(mat)

print(""Matrix After Modification :"")
printMatrix(mat)

# This code is contributed by Nikita tiwari.
",O(M*N),O(1)
"# Python program to check if a binary tree is bst or not
# A binary tree node has data, pointer to left child
# and a pointer to right child
classNode:

    def__init__(self, data):
        self.data =data
        self.left =None
        self.right =None

defmaxValue(node):
    ifnode isNone:
        return0;
    
    leftMax =maxValue(node.left)
    rightMax =maxValue(node.right)
    
    value =0;
    ifleftMax > rightMax:
        value =leftMax
    else:
        value =rightMax
    
    ifvalue < node.data:
        value =node.data
    
    returnvalue
    
defminValue(node):
    ifnode isNone:
        return1000000000
    
    leftMax =minValue(node.left)
    rightMax =minValue(node.right)
    
    value =0
    ifleftMax < rightMax:
        value =leftMax
    else:
        value =rightMax
    
    ifvalue > node.data:
        value =node.data
    
    returnvalue

# Returns true if a binary tree is a binary search tree
defisBST(node):
    ifnode isNone:
        returnTrue
    
    # false if the max of the left is > than us
    if(node.left isnotNoneandmaxValue(node.left) > node.data):
        returnFalse
    
    # false if the min of the right is <= than us
    if(node.right isnotNoneandminValue(node.right) < node.data):
        returnFalse
    
    #false if, recursively, the left or right is not a BST
    if(isBST(node.left) isFalseorisBST(node.right) isFalse):
        returnFalse
    
    # passing all that, it's a BST
    returnTrue

# Driver code
if__name__ ==""__main__"":
  root =Node(4)
  root.left =Node(2)
  root.right =Node(5)
  # root.right.left = Node(7)
  root.left.left =Node(1)
  root.left.right =Node(3)

  # Function call
  ifisBST(root) isTrue:
      print(""Is BST"")
  else:
      print(""Not a BST"")

# This code is contributed by Yash Agarwal(yashagarwal2852002)
",O(N2),O(H)
"# Python program to check if a binary tree is bst or not

INT_MAX =4294967296
INT_MIN =-4294967296

# A binary tree node


classNode:

    # Constructor to create a new node
    def__init__(self, data):
        self.data =data
        self.left =None
        self.right =None


# Returns true if the given tree is a binary search tree
# (efficient version)
defisBST(node):
    return(isBSTUtil(node, INT_MIN, INT_MAX))

# Returns true if the given tree is a BST and its values
# >= min and <= max


defisBSTUtil(node, mini, maxi):

    # An empty tree is BST
    ifnode isNone:
        returnTrue

    # False if this node violates min/max constraint
    ifnode.data < mini ornode.data > maxi:
        returnFalse

    # Otherwise check the subtrees recursively
    # tightening the min or max constraint
    return(isBSTUtil(node.left, mini, node.data -1) and
            isBSTUtil(node.right, node.data+1, maxi))


# Driver code
if__name__ ==""__main__"":
  root =Node(4)
  root.left =Node(2)
  root.right =Node(5)
  root.left.left =Node(1)
  root.left.right =Node(3)

  # Function call
  if(isBST(root)):
      print(""Is BST"")
  else:
      print(""Not a BST"")

# This code is contributed by Nikhil Kumar Singh(nickzuck_007)
",O(N),O(1)
